Uni,Student_ID,First_Name,Middle_Name,Last_Name,Email,School,Level,Affiliation,Points,email_suffix
bn0509,C0041466980,Brett,,Nelson,bn0509@columbia.edu,EN  ,U04,ENCOMS,3,columbia.edu
ew0054,C0039448696,Eaton,,Waller,ew0054@columbia.edu,EN  ,U04,ENCOMS,3,columbia.edu
ew0389,C0040336505,Echo,,Winters,ew0389@columbia.edu,EN  ,U02,ENCOMS,3,columbia.edu
ah0394,C0039598992,Amela,Christopher,Henson,ah0394@columbia.edu,EN  ,U04,ENCOMS,3,columbia.edu
rs0475,C0039316774,Rhoda,,Strong,rs0475@columbia.edu,EN  ,U02,ENCOMS,3,columbia.edu
ab0414,C0042079766,August,Daniela,Barlow,ab0414@columbia.edu,EN  ,U02,ENCOMS,3,columbia.edu
ph0525,C0040566748,Patience,,Hancock,ph0525@columbia.edu,EN  ,U03,ENOPRE,3,columbia.edu
jb0532,C0040641679,Jeanette,,Baker,jb0532@columbia.edu,EN  ,U02,ENCOMS,3,columbia.edu
bf0294,C0038946677,Brady,Cameron,Fuentes,bf0294@columbia.edu,EP  ,G01,EMCOMS,3,columbia.edu
rt0314,C0040832501,Ramona,,Terrell,rt0314@columbia.edu,EP  ,G01,ETCOMS,3,columbia.edu
cf0544,C0040786770,Colt,,Frazier,cf0544@columbia.edu,CC  ,U03,CCCOMS,3,columbia.edu
fr0461,C0040732449,Fritz,Luo,Ross,fr0461@columbia.edu,EN  ,U03,ENOPRE,3,columbia.edu
zc0768,C0039864089,Zachary,,Curtis,zc0768@columbia.edu,EN  ,U02,ENCOMS,3,columbia.edu
gl0180,C0040027840,Galvin,Pratap,Landry,gl0180@columbia.edu,EP  ,G01,EMCOMS,3,columbia.edu
uc0718,C0041198110,Ursula,,Cobb,uc0718@columbia.edu,EP  ,G02,EMCOMS,3,columbia.edu
dp0463,C0041581514,Dale,,Parks,dp0463@columbia.edu,EN  ,U04,ENOPRE,3,columbia.edu
eh0490,C0038973178,Elijah,,Hobbs,eh0490@columbia.edu,CC  ,U03,CCCOMS,3,columbia.edu
os0204,C0040824262,Oren,,Simon,os0204@columbia.edu,EP  ,G01,EMCMEN,3,columbia.edu
