Uni,Student_ID,First_Name,Middle_Name,Last_Name,Email,School,Level,Affiliation,Points,email_suffix
bn0523,C0041489638,Brett,,Nelson,bn0523@columbia.edu,EN  ,U04,ENCOMS,3,columbia.edu
ew0711,C0040176340,Eaton,,Waller,ew0711@columbia.edu,EN  ,U04,ENCOMS,3,columbia.edu
ew0052,C0040376676,Echo,,Winters,ew0052@columbia.edu,EN  ,U02,ENCOMS,3,columbia.edu
ah0107,C0041776519,Amela,Christopher,Henson,ah0107@columbia.edu,EN  ,U04,ENCOMS,3,columbia.edu
rs0895,C0038956143,Rhoda,,Strong,rs0895@columbia.edu,EN  ,U02,ENCOMS,3,columbia.edu
ab0867,C0040695744,August,Daniela,Barlow,ab0867@columbia.edu,EN  ,U02,ENCOMS,3,columbia.edu
ph0783,C0040943779,Patience,,Hancock,ph0783@columbia.edu,EN  ,U03,ENOPRE,3,columbia.edu
jb0928,C0041057552,Jeanette,,Baker,jb0928@columbia.edu,EN  ,U02,ENCOMS,3,columbia.edu
bf0071,C0041936672,Brady,Cameron,Fuentes,bf0071@columbia.edu,EP  ,G01,EMCOMS,3,columbia.edu
rt0404,C0041130034,Ramona,,Terrell,rt0404@columbia.edu,EP  ,G01,ETCOMS,3,columbia.edu
cf0251,C0041296187,Colt,,Frazier,cf0251@columbia.edu,CC  ,U03,CCCOMS,3,columbia.edu
fr0345,C0041582401,Fritz,Luo,Ross,fr0345@columbia.edu,EN  ,U03,ENOPRE,3,columbia.edu
zc0566,C0039269137,Zachary,,Curtis,zc0566@columbia.edu,EN  ,U02,ENCOMS,3,columbia.edu
gl0157,C0041145526,Galvin,Pratap,Landry,gl0157@columbia.edu,EP  ,G01,EMCOMS,3,columbia.edu
uc0967,C0042037552,Ursula,,Cobb,uc0967@columbia.edu,EP  ,G02,EMCOMS,3,columbia.edu
dp0672,C0039732139,Dale,,Parks,dp0672@columbia.edu,EN  ,U04,ENOPRE,3,columbia.edu
eh0287,C0041045228,Elijah,,Hobbs,eh0287@columbia.edu,CC  ,U03,CCCOMS,3,columbia.edu
os0783,C0041428398,Oren,,Simon,os0783@columbia.edu,EP  ,G01,EMCMEN,3,columbia.edu
bb0387,C0041499417,Bruno,,Bond,bb0387@columbia.edu,EP  ,G01,EMCOMS,3,columbia.edu
bc0657,C0041790259,Brianna,,Cervantes,bc0657@columbia.edu,EP  ,G01,EMCMEN,3,columbia.edu
